pokedex_id,species_name,name,generation,type1,type2,type_count,abilities,hidden_abilities,hp,hp_ratio,attack,attack_ratio,defense,defense_ratio,sp_attack,sp_attack_ratio,sp_defense,sp_defense_ratio,speed,speed_ratio,base_stat_total,dominant_stat,offense,bulk,speed_tier,stat_variance,stat_variance_quantile,stat_specialization,bst_percentile_gen,bst_gen_class,bst_percentile_all,bst_all_class,weakness_count,resistance_count,immunity_count,typing_defense_score,typing_defense_class,battle_archetypes,combat_profile,height_m,weight_kg,mass_index,mass_index_class,is_genderless,female_ratio,pokemon_class,base_experience,moves_count,capture_rate,base_happiness,hatch_counter,egg_groups,growth_rate,shape,color,genus,flavor_text,evolution_line,evolution_chain_length,evolution_stage,is_final_evolution,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fighting,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
494,victini,victini,5,psychic,fire,2,victory-star,,100,0.17,100,0.17,100,0.17,100,0.17,100,0.17,100,0.17,600,hp,200,300,fast,0.0,1,balanced,0.93,top_tier,0.93,top_tier,5,7,0,-1.5,exposed,juggernaut,exposed-juggernaut,0.4,4.0,25.0,light,1,0.0,mythical,270.0,94,3,100,120,no-eggs,slow,humanoid,yellow,Victory Pokémon,"This Pokémon brings victory. It is said that Trainers with Victini always win, regardless of the type of encounter.",victini,1,0,0,1.0,0.5,2.0,1.0,0.5,0.5,0.5,1.0,2.0,1.0,0.5,1.0,2.0,2.0,1.0,2.0,0.5,0.5
495,snivy,snivy,5,grass,,1,overgrow,contrary,45,0.15,45,0.15,55,0.18,45,0.15,55,0.18,63,0.2,308,speed,90,155,average,47.22,1,balanced,0.16,bottom_tier,0.16,bottom_tier,5,4,0,-3.0,frail,fragile,frail-fragile,0.6,8.1,22.5,light,0,0.125,normal,62.0,77,45,70,20,"ground, plant",medium-slow,upright,green,Grass Snake Pokémon,It is very intelligent and calm. Being exposed to lots of sunlight makes its movements swifter.,snivy --> servine --> serperior,3,1,0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
496,servine,servine,5,grass,,1,overgrow,contrary,60,0.15,60,0.15,75,0.18,60,0.15,75,0.18,83,0.2,413,speed,120,210,average,85.14,1,balanced,0.39,lower_mid_tier,0.39,lower_mid_tier,5,4,0,-3.0,frail,midrange,frail-midrange,0.8,16.0,25.0,light,0,0.125,normal,145.0,74,45,70,20,"ground, plant",medium-slow,upright,green,Grass Snake Pokémon,"It moves along the ground as if sliding. Its swift movements befuddle its foes, and it then attacks with a vine whip.",snivy --> servine --> serperior,3,2,0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
497,serperior,serperior,5,grass,,1,overgrow,contrary,75,0.14,75,0.14,95,0.18,75,0.14,95,0.18,113,0.21,528,speed,150,265,fast,205.0,2,slightly_specialized,0.79,upper_mid_tier,0.79,upper_mid_tier,5,4,0,-3.0,frail,bulky_speedster,frail-bulky_speedster,3.3,63.0,5.79,very_light,0,0.125,normal,238.0,87,45,70,20,"ground, plant",medium-slow,squiggle,green,Regal Pokémon,It can stop its opponents’ movements with just a glare. It takes in solar energy and boosts it internally.,snivy --> servine --> serperior,3,3,1,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
498,tepig,tepig,5,fire,,1,blaze,thick-fat,65,0.21,63,0.2,45,0.15,45,0.15,45,0.15,45,0.15,308,hp,108,155,slow,80.56,1,balanced,0.16,bottom_tier,0.16,bottom_tier,3,6,0,0.0,neutral,weak_slow,neutral-weak_slow,0.5,9.9,39.6,heavy,0,0.125,normal,62.0,72,45,70,20,ground,medium-slow,quadruped,red,Fire Pig Pokémon,It can deftly dodge its foe’s attacks while shooting fireballs from its nose. It roasts berries before it eats them.,tepig --> pignite --> emboar,3,1,0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
499,pignite,pignite,5,fire,fighting,2,blaze,thick-fat,90,0.22,93,0.22,55,0.13,70,0.17,55,0.13,55,0.13,418,attack,163,200,slow,267.22,3,slightly_specialized,0.4,lower_mid_tier,0.4,lower_mid_tier,4,6,0,-1.0,exposed,slow_attacker,exposed-slow_attacker,1.0,55.5,55.5,very_heavy,0,0.125,normal,146.0,91,45,70,20,ground,medium-slow,upright,red,Fire Pig Pokémon,"When its internal fire flares up, its movements grow sharper and faster. When in trouble, it emits smoke.",tepig --> pignite --> emboar,3,2,0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,2.0,2.0,0.25,1.0,1.0,1.0,0.5,0.5,1.0
500,emboar,emboar,5,fire,fighting,2,blaze,reckless,110,0.21,123,0.23,65,0.12,100,0.19,65,0.12,65,0.12,528,attack,223,240,average,573.33,4,specialized,0.79,upper_mid_tier,0.79,upper_mid_tier,4,6,0,-1.0,exposed,attacker,exposed-attacker,1.6,150.0,58.59,very_heavy,0,0.125,normal,238.0,102,45,70,20,ground,medium-slow,upright,red,Mega Fire Pig Pokémon,It can throw a fire punch by setting its fists on fire with its fiery chin. It cares deeply about its friends.,tepig --> pignite --> emboar,3,3,1,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,2.0,2.0,0.25,1.0,1.0,1.0,0.5,0.5,1.0
500,emboar,emboar-mega,5,fire,fighting,2,,,110,0.18,148,0.24,75,0.12,110,0.18,110,0.18,75,0.12,628,attack,258,295,average,620.56,4,specialized,0.97,top_tier,0.97,top_tier,4,6,0,-1.0,exposed,bulky_attacker,exposed-bulky_attacker,1.8,180.3,55.65,very_heavy,0,0.125,normal,,0,45,70,20,ground,medium-slow,upright,red,Mega Fire Pig Pokémon,It can throw a fire punch by setting its fists on fire with its fiery chin. It cares deeply about its friends.,tepig --> pignite --> emboar,3,3,1,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,2.0,2.0,0.25,1.0,1.0,1.0,0.5,0.5,1.0
501,oshawott,oshawott,5,water,,1,torrent,shell-armor,55,0.18,55,0.18,45,0.15,63,0.2,45,0.15,45,0.15,308,sp_attack,118,145,slow,47.22,1,balanced,0.16,bottom_tier,0.16,bottom_tier,2,4,0,0.0,neutral,weak_slow,neutral-weak_slow,0.5,5.9,23.6,light,0,0.125,normal,62.0,78,45,70,20,ground,medium-slow,upright,blue,Sea Otter Pokémon,"It fights using the scalchop on its stomach. In response to an attack, it retaliates immediately by slashing.",oshawott --> dewott --> samurott,3,1,0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
502,dewott,dewott,5,water,,1,torrent,shell-armor,75,0.18,75,0.18,60,0.15,83,0.2,60,0.15,60,0.15,413,sp_attack,158,195,average,85.14,1,balanced,0.39,lower_mid_tier,0.39,lower_mid_tier,2,4,0,0.0,neutral,balanced,neutral-balanced,0.8,24.5,38.28,heavy,0,0.125,normal,145.0,77,45,70,20,ground,medium-slow,upright,blue,Discipline Pokémon,Strict training is how it learns its flowing double-scalchop technique.,oshawott --> dewott --> samurott,3,2,0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
